Line;Time;clk 1;EA;out;
1;0;Falsch;Falsch;0;
2;0.01;Wahr;Wahr;1;
3;0.02;Wahr;Wahr;1;
4;0.03;Wahr;Falsch;1;
5;0.04;Falsch;Falsch;1;
6;0.05;Falsch;Falsch;1;
7;0.06;Wahr;Falsch;1;
8;0.07;Wahr;Wahr;1;
9;0.08;Falsch;Falsch;1;
10;0.09;Falsch;Falsch;1;
11;0.1;Wahr;Falsch;1;
12;0.11;Wahr;Falsch;1;
13;0.12;Falsch;Wahr;0;
14;0.13;Falsch;Falsch;0;
15;0.14;Wahr;Falsch;0;
16;0.15;Wahr;Falsch;0;
17;0.16;Falsch;Falsch;0;
18;0.17;Falsch;Wahr;0;
19;0.18;Wahr;Falsch;0;
20;0.19;Wahr;Falsch;0;
21;0.2;Falsch;Falsch;0;
22;0.21;Falsch;Falsch;0;
23;0.22;Wahr;Wahr;1;
24;0.23;Wahr;Falsch;1;
25;0.24;Falsch;Falsch;1;
26;0.25;Falsch;Falsch;1;
27;0.26;Wahr;Falsch;1;
28;0.27;Wahr;Wahr;1;
29;0.28;Falsch;Falsch;1;
30;0.29;Falsch;Falsch;1;
31;0.3;Wahr;Falsch;1;
32;0.31;Wahr;Falsch;1;
33;0.32;Falsch;Wahr;0;
34;0.33;Falsch;Falsch;0;
35;0.34;Wahr;Falsch;0;
36;0.35;Wahr;Falsch;0;
37;0.36;Falsch;Falsch;0;
38;0.37;Falsch;Wahr;0;
39;0.38;Wahr;Falsch;0;
40;0.39;Wahr;Falsch;0;
41;0.4;Falsch;Falsch;0;
42;0.41;Falsch;Falsch;0;
43;0.42;Wahr;Wahr;1;
44;0.43;Wahr;Falsch;1;
45;0.44;Falsch;Falsch;1;
46;0.45;Falsch;Falsch;1;
47;0.46;Wahr;Falsch;1;
48;0.47;Wahr;Wahr;1;
49;0.48;Falsch;Falsch;1;
50;0.49;Falsch;Falsch;1;
51;0.5;Wahr;Falsch;1;
52;0.51;Wahr;Falsch;1;
