Line;Time;saw 1;saw 2;
1;0;0;0;
2;0.01;-10;nan;
3;0.02;-10;nan;
4;0.03;-9.8;nan;
5;0.04;-9.6;nan;
6;0.05;-9.4;nan;
7;0.06;-9.2;nan;
8;0.07;-9;nan;
9;0.08;-8.8;nan;
10;0.09;-8.6;nan;
11;0.1;-8.4;nan;
12;0.11;-8.2;nan;
13;0.12;-8;nan;
14;0.13;-7.8;nan;
15;0.14;-7.6;nan;
16;0.15;-7.4;nan;
17;0.16;-7.2;nan;
18;0.17;-7;nan;
19;0.18;-6.8;nan;
20;0.19;-6.6;nan;
21;0.2;-6.4;nan;
22;0.21;-6.2;nan;
23;0.22;-6;nan;
24;0.23;-5.8;nan;
25;0.24;-5.6;nan;
26;0.25;-5.4;nan;
27;0.26;-5.2;nan;
28;0.27;-5;nan;
29;0.28;-4.8;nan;
30;0.29;-4.6;nan;
31;0.3;-4.4;nan;
32;0.31;-4.2;nan;
33;0.32;-4;nan;
34;0.33;-3.8;nan;
35;0.34;-3.6;nan;
36;0.35;-3.4;nan;
37;0.36;-3.2;nan;
38;0.37;-3;nan;
39;0.38;-2.8;nan;
40;0.39;-2.6;nan;
41;0.4;-2.4;nan;
42;0.41;-2.2;nan;
43;0.42;-2;nan;
44;0.43;-1.8;nan;
45;0.44;-1.6;nan;
46;0.45;-1.4;nan;
47;0.46;-1.2;nan;
48;0.47;-1;nan;
49;0.48;-0.8;nan;
50;0.49;-0.6;nan;
51;0.5;-0.4;nan;
52;0.51;-0.2;nan;
53;0.52;0;-inf;
54;0.53;0.2;-1.60944;
55;0.54;0.4;-0.916291;
56;0.55;0.6;-0.510826;
57;0.56;0.8;-0.223144;
58;0.57;1;8.88178e-16;
59;0.58;1.2;0.182322;
60;0.59;1.4;0.336472;
61;0.6;1.6;0.470004;
62;0.61;1.8;0.587787;
63;0.62;2;0.693147;
64;0.63;2.2;0.788457;
65;0.64;2.4;0.875469;
66;0.65;2.6;0.955511;
67;0.66;2.8;1.02962;
68;0.67;3;1.09861;
69;0.68;3.2;1.16315;
70;0.69;3.4;1.22378;
71;0.7;3.6;1.28093;
72;0.71;3.8;1.335;
73;0.72;4;1.38629;
74;0.73;4.2;1.43508;
75;0.74;4.4;1.4816;
76;0.75;4.6;1.52606;
77;0.76;4.8;1.56862;
78;0.77;5;1.60944;
79;0.78;5.2;1.64866;
80;0.79;5.4;1.6864;
81;0.8;5.6;1.72277;
82;0.81;5.8;1.75786;
83;0.82;6;1.79176;
84;0.83;6.2;1.82455;
85;0.84;6.4;1.8563;
86;0.85;6.6;1.88707;
87;0.86;6.8;1.91692;
88;0.87;7;1.94591;
89;0.88;7.2;1.97408;
90;0.89;7.4;2.00148;
91;0.9;7.6;2.02815;
92;0.91;7.8;2.05412;
93;0.92;8;2.07944;
94;0.93;8.2;2.10413;
95;0.94;8.4;2.12823;
96;0.95;8.6;2.15176;
97;0.96;8.8;2.17475;
98;0.97;9;2.19722;
99;0.98;9.2;2.2192;
100;0.99;9.4;2.24071;
101;1;9.6;2.26176;
102;1.01;9.8;2.28238;
103;1.02;-10;nan;
104;1.03;-9.8;nan;
105;1.04;-9.6;nan;
106;1.05;-9.4;nan;
107;1.06;-9.2;nan;
108;1.07;-9;nan;
109;1.08;-8.8;nan;
110;1.09;-8.6;nan;
111;1.1;-8.4;nan;
112;1.11;-8.2;nan;
